id,joke,category_human,category_llm
1,"True Story. So my grandpa, my father and I were out on a car ride to the beach when I was 11. I always loved riding with my grandpa because he told all of his war stories from serving in WWII, and as a kid they were always cool to hear.   We stopped at a stop sign, and a car with 3 asian kids pulled up behind us ( maybe 18/19 year olds) and immediately started blaring the horn. My grandpa simply flips them the bird, and starts checking oncoming traffic. Impatient I guess, the car behind slams their gas and goes around us, yelling “f**k you* as they went by. My grandpa, mumbling and cussing. Just checks traffic and continues on.  About 5 minutes after that, there’s the car that was behind us, in an accident on the side of the road. The kids were outside waving down traffic trying to get help, so my grandpa slowed down and rolled down his window. As we went by, he shouted   “AND THAT’S FOR PEARL HARBOR”  and continued to drive away, laughing so hard he couldn’t breathe",,Racial/Ethnic/National; Age-based
2,What animal has two gray legs and two brown legs? &#x200B;  An elephant with diarrhea,,None
3,My father has the heart of a lion and a lifetime ban at the zoo.,,None
4,My fidget spinner finally helps me calm down. I sharpened it like a shuriken and I kill people with it now.,,None
5,Why did Barty Crouch quit drinking? Because it was making him moody. ,,None
6,"A man and his wife are having sex Out in the woods when a bee enters the woman's vagina. The couple stop and immediately go to the hospital. The doctor tells them there is a simple solution. Cover the mans penis in honey and have him lure the bee out. The husband says ""what if the bee stings me?"". The doctor replied there is a chance. The man is too scared so the doctor must do it. He takes off his clothes, slathers his Dick with honey, and inserts it. The bee flies out. ""Is it over?"" The husband says?""  ""Nah I think there's a nest in here let me try again""",,None
7,I was thinking to my myself earlier.... ...orchestra conductors are brilliant Hitler impersonators,,Racial/Ethnic/National; Political/Ideological
8,What do you call a unicorn with a soar throat? Horse...,,None
9,"Jewish Business A fleeing Taliban, desperate for water, was trudging through the Afghanistan desert when he saw something far off in the distance. Hoping to find water, he hurried towards it, only to find a little old Jewish man at a small stand selling ties.   The Taliban asked, “Do you have water?”   The Jewish man replied, “I have no water. Would you like to buy a tie? They are only $5.”   The Taliban shouted, “Infidel! I do not need an over-priced tie! I need water! I should kill you, but I must find water first!”   “OK, OK” said the old Jewish man, “It does not matter that you do not want to buy a tie and that you hate me. I will show you that I am bigger than that. If you continue over that hill to the east for about two miles, you will find a lovely restaurant. It has all the ice cold water you need. Shalom.”   Muttering, the Taliban staggered away over the hill. Several hours later he staggered back, almost dead… “Your f***ing brother won’t let me in without a tie!” ",,Racial/Ethnic/National; Religion-based
10,What std can you get from errape Hearing aids,,Appearance/Physical condition
11,A guy walks into r/askhistorians and asks if there was such a thing as New World deniers Everybody knows the answer is Christopher Columbus and can't get the joke approved!,,None
12,So today the founder of IKEA passed away... I wonder how long it took his family to build his casket?,,None
13,"Say ""Unreliable Airline"" three times fast. Delta Delta Delta",,None
14,"In case of WW3 or any other trouble on Earth, Elon Musk can Become next level Noah With his Elon's Ark.",,Religion-based
